book_id,sku,title,url_path,price,quantity_sold,rating_average,review_count,tiki_url,source_keys,source_keys_norm,source_key_count,discount_rate,source_modes,fetched_at_first,fetched_at_last,match_text_norm,popularity_score,title_norm,original_price,discount
51244265,7445777287446,Lược Sử Kinh Tế Học,sach-luoc-su-kinh-te-hoc-p51244265.html?spid=51244266,103950,3094,4.8,432,https://tiki.vn/sach-luoc-su-kinh-te-hoc-p51244265.html?spid=51244266,sách kinh tế học; kinh tế học; nguyên lý kinh tế học; kinh tế thế giới; kinh tế học hành vi,sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te the gioi kinh te hoc hanh vi,5,23,search,2026-05-27T08:40:57Z,2026-05-27T08:42:08Z,luoc su kinh te hoc sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te the gioi kinh te hoc hanh vi,21.9436,luoc su kinh te hoc,135000,31050
275625701,1667940014980,Tinh Hoa Kinh Tế Học,sach-tinh-hoa-kinh-te-hoc-p275625701.html?spid=275625704,446200,403,5.0,190,https://tiki.vn/sach-tinh-hoa-kinh-te-hoc-p275625701.html?spid=275625704,sách kinh tế học; kinh tế học; nguyên lý kinh tế học; kinh tế quốc tế; kinh tế Việt Nam; kinh tế thế giới; kinh tế học hành vi,sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te quoc te kinh te viet nam kinh te the gioi kinh te hoc hanh vi,7,25,search,2026-05-27T08:40:57Z,2026-05-27T08:42:08Z,tinh hoa kinh te hoc sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te quoc te kinh te viet nam kinh te the gioi kinh te hoc hanh vi,18.8798,tinh hoa kinh te hoc,595000,148800
73107475,1809255642411,Kinh Tế Học Viking,sach-kinh-te-hoc-viking-p73107475.html?spid=73107476,86000,209,5.0,28,https://tiki.vn/sach-kinh-te-hoc-viking-p73107475.html?spid=73107476,sách kinh tế học; kinh tế học; kinh tế học hành vi; tăng trưởng kinh tế,sach kinh te hoc kinh te hoc kinh te hoc hanh vi tang truong kinh te,4,31,search,2026-05-27T08:40:57Z,2026-05-27T08:42:25Z,kinh te hoc viking sach kinh te hoc kinh te hoc kinh te hoc hanh vi tang truong kinh te,15.3981,kinh te hoc viking,125000,39000
272269829,1629071247499,Kinh tế học thời khó nhọc,sach-kinh-te-hoc-thoi-kho-nhoc-p272269829.html?spid=272269830,193000,242,5.0,19,https://tiki.vn/sach-kinh-te-hoc-thoi-kho-nhoc-p272269829.html?spid=272269830,sách kinh tế học; kinh tế học,sach kinh te hoc kinh te hoc,2,16,search,2026-05-27T08:40:57Z,2026-05-27T08:41:02Z,kinh te hoc thoi kho nhoc sach kinh te hoc kinh te hoc,14.9867,kinh te hoc thoi kho nhoc,230000,37000
244168309,7436816319155,Kinh Tế Học - Khái Lược Những Tư Tưởng Lớn,sach-kinh-te-hoc-khai-luoc-nhung-tu-tuong-lon-p244168309.html?spid=244168310,348000,162,5.0,19,https://tiki.vn/sach-kinh-te-hoc-khai-luoc-nhung-tu-tuong-lon-p244168309.html?spid=244168310,sách kinh tế học; nguyên lý kinh tế học,sach kinh te hoc nguyen ly kinh te hoc,2,23,search,2026-05-27T08:40:57Z,2026-05-27T08:41:12Z,kinh te hoc khai luoc nhung tu tuong lon sach kinh te hoc nguyen ly kinh te hoc,14.5873,kinh te hoc khai luoc nhung tu tuong lon,450000,102000
560011,8936037798516,Kinh Tế Học Cấm Đoán,sach-kinh-te-hoc-cam-doan-p560011.html?spid=293548,70600,655,3.3,8,https://tiki.vn/sach-kinh-te-hoc-cam-doan-p560011.html?spid=293548,sách kinh tế học; kinh tế học; nguyên lý kinh tế học; kinh tế học hành vi,sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te hoc hanh vi,4,26,search,2026-05-27T08:40:57Z,2026-05-27T08:42:08Z,kinh te hoc cam doan sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te hoc hanh vi,13.082,kinh te hoc cam doan,95000,24400
279330578,2150431003343,- Kinh Tế Học Đời Sống,sach-kinh-te-hoc-doi-song-p279330578.html?spid=279340592,168500,13,0.0,0,https://tiki.vn/sach-kinh-te-hoc-doi-song-p279330578.html?spid=279340592,sách kinh tế học; kinh tế học,sach kinh te hoc kinh te hoc,2,29,search,2026-05-27T08:40:57Z,2026-05-27T08:41:02Z,kinh te hoc doi song sach kinh te hoc kinh te hoc,2.6391,kinh te hoc doi song,239000,70500
270883270,5874564818697,Tư duy như nhà kinh tế học,sach-tu-duy-nhu-nha-kinh-te-hoc-p270883270.html?spid=270883271,107030,59,5.0,1,https://tiki.vn/sach-tu-duy-nhu-nha-kinh-te-hoc-p270883270.html?spid=270883271,sách kinh tế học; kinh tế học; nguyên lý kinh tế học; kinh tế học hành vi; tư duy kinh tế,sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te hoc hanh vi tu duy kinh te,5,23,search,2026-05-27T08:40:57Z,2026-05-27T08:42:39Z,tu duy nhu nha kinh te hoc sach kinh te hoc kinh te hoc nguyen ly kinh te hoc kinh te hoc hanh vi tu duy kinh te,10.1341,tu duy nhu nha kinh te hoc,139000,31970
195792313,4670406724845,Tinh Hoa Kinh Tế Học (Essentials Of Economics) - Tặng sổ tay xương rồng,sach-tinh-hoa-kinh-te-hoc-essentials-of-economics-tang-so-tay-xuong-rong-p195792313.html?spid=195792314,595000,29,5.0,2,https://tiki.vn/sach-tinh-hoa-kinh-te-hoc-essentials-of-economics-tang-so-tay-xuong-rong-p195792313.html?spid=195792314,sách kinh tế học; kinh tế học; economics; nguyên lý kinh tế học; development economics; international economics; kinh tế học hành vi; behavioral economics,sach kinh te hoc kinh te hoc economics nguyen ly kinh te hoc development economics international economics kinh te hoc hanh vi behavioral economics,8,0,search,2026-05-27T08:40:57Z,2026-05-27T08:42:13Z,tinh hoa kinh te hoc essentials of economics tang so tay xuong rong sach kinh te hoc kinh te hoc economics nguyen ly kinh te hoc development economics international economics kinh te hoc hanh vi behavioral economics,10.0491,tinh hoa kinh te hoc essentials of economics tang so tay xuong rong,595000,0
82035675,5926278046582,Bezonomics - Kinh Tế Học Bezos,sach-bezonomics-kinh-te-hoc-bezos-p82035675.html?spid=86417786,116000,19,5.0,4,https://tiki.vn/sach-bezonomics-kinh-te-hoc-bezos-p82035675.html?spid=86417786,sách kinh tế học; kinh tế học hành vi,sach kinh te hoc kinh te hoc hanh vi,2,27,search,2026-05-27T08:40:57Z,2026-05-27T08:42:08Z,bezonomics kinh te hoc bezos sach kinh te hoc kinh te hoc hanh vi,10.4099,bezonomics kinh te hoc bezos,159000,43000
